symbol,name,exchange,category,country,category_number
PAC,Grupo Aeroportuario del Pacifico S.A.B. de CV,NYQ,"Air Services, Other",USA,772
PACB,"Pacific Biosciences of California, Inc.",NMS,Biotechnology,USA,515
PACD,Pacific Drilling S.A.,NYQ,Oil & Gas Drilling & Exploration,USA,123
PACQU,Prime Acquisition Corp.,NCM,,USA,0
PACR,"Pacer International, Inc.",NMS,Railroads,USA,776
PACT,Pactera Technology International Ltd.,NMS,Business Software & Services,USA,826
PACW,PacWest Bancorp,NMS,Regional - Pacific Banks,USA,416
PAG,"Penske Automotive Group, Inc.",NYQ,Auto Dealerships,USA,744
PAGP,"Plains GP Holdings, L.P.",NYQ,Oil & Gas Pipelines,USA,125
PAH3.DE,Porsche Automobil Holding SE,GER,Auto Manufacturers - Major,Germany,330
PAI,Western Asset Income Fund,NYQ,Closed-End Fund - Debt,USA,425
PAL,North American Palladium Ltd.,ASE,Industrial Metals & Minerals,USA,133
PAL.L,EQUATORIAL PALM,LSE,,United Kingdom,0
PAM,Pampa Energia SA,NYQ,Electric Utilities,USA,911
PAMT,Parametric Sound Corp.,NCM,Communication Equipment,USA,841
PAN.AX,Panoramic Resources Limited,ASX,Copper,Australia,131
PAN.V,PANGOLIN DIAMONDS CORP,VAN,,Canada,0
PANR.JK,Panorama Sentrawisata Tbk.,JKT,,Indonesia,0
PANW,"Palo Alto Networks, Inc.",NYQ,Networking & Communication Devices,USA,814
PAPA,"Papa Bello Enterprises, Inc.",PNK,,USA,0
PAR,PAR Technology Corporation,NYQ,Application Software,USA,821
PAR-UN.TO,PARTNERS REIT UNITS,TOR,,Canada,0
PARXF,Parex Resources Inc.,PNK,,USA,0
PASAL.AT,PASAL REAL EST,ATH,,Greece,0
PATH,"NuPathe, Inc.",NGM,Biotechnology,USA,515
PATR,"Patriot Transportation Holding, Inc.",NMS,Trucking,USA,774
PATY.BA,Quickfood Sociedad Anonima,BUE,Food - Major Diversified,Argentina,340
PAW.V,Pacific Wildcat Resources Corp.,VAN,Industrial Metals & Minerals,Canada,133
PAWEF,Pacific North West Capital Corp.,OBB,,USA,0
PAY,"VeriFone Systems, Inc.",NYQ,Business Equipment,USA,313
PAYX,"Paychex, Inc.",NMS,Staffing & Outsourcing Services,USA,764
PB,Prosperity Bancshares Inc.,NYQ,Regional - Southwest  Banks,USA,415
PBA,Pembina Pipeline Corporation,NYQ,Oil & Gas Pipelines,USA,125
PBCP,"Polonia Bancorp, Inc.",NCM,Savings & Loans,USA,419
PBCT,People's United Financial Inc.,NMS,Savings & Loans,USA,419
PBEGF,"Petrobank Energy and Resources, Ltd.",PNK,,USA,0
PBF,PBF Energy Inc.,NYQ,Oil & Gas Refining & Marketing,USA,122
PBG.TO,"Petrobank Energy and Resources, Ltd.",TOR,Independent Oil & Gas,Canada,121
PBH,"Prestige Brands Holdings, Inc.",NYQ,Cleaning Products,USA,326
PBHC,"Pathfinder Bancorp, Inc.",NCM,Savings & Loans,USA,419
PBI,Pitney Bowes Inc.,NYQ,Business Equipment,USA,313
PBIB,Porter Bancorp Inc.,NCM,Regional - Southeast Banks,USA,413
PBIO,"Pressure BioSciences, Inc.",PNK,Medical Appliances & Equipment,USA,521
PBIP,"Prudential Bancorp, Inc.",NGM,Savings & Loans,USA,419
PBM,Pacific Booker Minerals Inc.,ASE,Industrial Metals & Minerals,USA,133
PBMD,Prima Biomed Ltd.,NGM,Biotechnology,USA,515
PBNY,,,,,0
PBPB,Potbelly Corporation,NMS,Specialty Eateries,USA,713
PBR,Petr,NYQ,,USA,0
PBR-A,Petr,NYQ,Oil & Gas Drilling & Exploration,USA,123
PBSK,"Poage Bankshares, Inc.",NCM,Conglomerates,USA,210
PBT,Permian Basin Royalty Trust,NYQ,Independent Oil & Gas,USA,121
PBW.BE,PITNEY BOWES,BER,Business Equipment,Germany,313
PBY,"Pep Boys - Manny, Moe & Jack",NYQ,Auto Parts Stores,USA,738
